Platform,Remerciement,Feedback
Google Avis ,Je n'est pas eux besoins de vos services mais je soutiens a 100% un petit avis positif pour vous envoyer du courage et de la force. Merci de faire bouger les choses !,
Google Avis ,C’est incroyable se que vous faites vous êtes des héros des personnes en or vraiment je suis de Suisse mais si j’aurais été de France je serais venu livrés,
Google Avis ,"Livreur très gentils et disponibles, et le sac était vraiment bien fournis il y avait tout ce dont j’ai besoin, merci beaucoup je recommande à 100%",
Google Avis ,"Bonjour, je viens de recevoir mon kit et je vous dit un grand MERCI. J'ai obtenu énormément de produits (hygiéniques, viennoiseries, sauces, féculents,....). Encore merci !",
Google Avis ,"Service rapide et très utile pour celles et ceux qui sont dans une précarité et qui ont du mal à faire leur course, il y a tout le nécessaire ! Je recommande vivement ! Merci beaucoup",
Google Avis ,"Merci infiniment pour votre précieuse aide, j'apprécie énormément votre démarche ! La remarque que j'aurai néanmoins est que j'ai été vraiment surprise du choix des produits... hormis le riz, la macédoine en boite, les haricots et la sauce tomate, tout le reste n'est que de la ""mal bouffe"". La mal bouffe est je penses, pour la plupart des étudiants, déjà à notre porté puisqu'elle est la moins chère et nous galérons justement à nous en défaire. Je m'attendais donc à recevoir des fruits/légumes principalement, peut-être des épices avec mais pas du chocolat, du Lipton, des Doritos qui ne me nourrissent pas. Et pour finir sur des notes positives, un grand merci pour les tampons, et mouchoirs, ainsi qu'à Farideh qui m'a livré le panier. Merci pour sa gentillesse et pour tout le reste du staff. Belle fin d'année à vous tous",
Google Avis ,Encore merci à L’équipage solidaire pour votre aide ! J’ai reçu un merveilleux panier bien rempli et les étudiants en ont bien besoin aujourd’hui ! Encore merci,
Google Avis ,Très grand bravo pour cette initiative ! Hâte de voir vos services se déployer dans le grand ouest!,
Google Avis ,"Delivr’aide apporte vraiment des produits géniaux, pour la vie de tous les jours! Je trouve cela magnifique et surtout généreux d’offrir ce service, de prendre le temps d’aider les étudiants! Encore merci!",
Google Avis ,"Incroyable merci beaucoup !!! une aide et une générosité incroyable ! Sa réchauffe vraiment le coeur pour des etudiant qui n’ont pas leur famille sur paris d’avoir une aide comme ça ! Vous avez pensez à tout , hygiène , denrée sur le long terme MERCI MILLE FOIS à vous tous! C’est particulièrement difficile les fin de mois et vous assurez vraiment merci pour votre aide et votre smile",
Google Avis ,"Les livreurs sont très sympathique et ils font un travail formidable, bon courage à eux.",
Google Avis ,"Force et soutien face à ce mouvement solidaire entre étudiants!! Votre engagement est réellement touchant, un grand merci à toute l’équipe pour ce que vous faites  ",
Google Avis ,"La livraison c’est super bien passée, une communication claire et simple, c’est un super service et ce qu’ils proposent est tout aussi bien, je recommande fortement et merci encore !!",
Google Avis ,Très sympa! Hyper amical! C’est le Top! Souriant et Bienveillant Douceur et bonheur dans ce froid hivernal parisien !,
Google Avis ,"Panier super remplit avec de la nourriture comme des produits d’hygiène, je ne m’attendais pas à autant !! Et la livreuse adorable ! Merci beaucoup",
Google Avis ,"Perso j'suis alternant donc j'en ai plus besoin mais il y a quelques années, ça m'aurais bien aidé. Très belle initiative.",
Google Avis ,"La personne avec qui j’ai échangé était très gentille. J’ai reçu des céréales, des pâtes, des chips …etc.
Je recommande !",
Google Avis ,"Vraiment cool comme panier sachant que c'est gratuit, j'ai quand même eu bcp moins de produits que les autres avis je ne sais pas pourquoi, et j'ai eu du paté alors que je suis sans viande, à part ça, que des trucs essentiels que je mange merci",
Google Avis ,"Au top !! Super panier condiments, produits hygiéniques ! et surtout un grand merci pour votre aide ",
Google Avis ,Livraison bien reçue avec pleins de produits !! Au top je recommande   ,
Google Avis ,"Très belle initiative, très bon contact avec le livreur. Plateforme à l’écoute. Merci à eux !",
Google Avis ,Super association ! Merci beaucoup à Yovann pour la livraison,
Google Avis ,"La livraison fut parfaite et rapide de plus un panier solidaire très fourni de quoi tenir un mois, merci grandement et que Dieu vous bénisse richement.",
Google Avis ,"Livreur au top, j'ai reçu aujourd'hui un kit complet et varié.
Merci beaucoup !",
Google Avis ,"Une initiative incroyable ! Bravo pour votre énergie et votre générosité, vous êtes vraiment inspirants !",
Google Avis ,"Une équipe au top, généreuse et qui se bouge pour les étudiants qui sont dans le besoin ! Un grand merci pour votre initiative ",
Google Avis ,Incroyablement incroyable tellement touché et sincère c’est fou de voir que des personnes aussi jeune sont tellement investi et mature pour pouvoir aidé des personnes en difficulté. Tout simplement merci,
Google Avis ,Félicitations à vous !! Vous avez pensez à faire une chaîne YouTube? Pour mettre encore plus de lumière et donner envie aux gens de vivre ça avec vous ?,
Google Avis ,Trop cool merci à l’équipe vous êtes géniaux !,
Google Avis ,Super de voir des jeunes investis et solidaire. Gros soutiens depuis la Suisse il nous faudrait une asso comme la votre.,
Google Avis ,"Panier au top, bénévoles adorables et compréhensifs ! Merci pour tout <3",
Google Avis ,"Magnifique projet, continuez comme ça, votre petit geste d’aujourd’hui fera tout changer demain!!! ",
Google Avis ,Delivr'aide est juste magnifique. L'équipe est hyper sympa. Tout est parfait. J'aime trop.,
Google Avis ,"De la communication jusqu’à la livraison, la quantité de produits, le service et la sympathie du livreur, tout y est",
Google Avis ,"Très satisfait de mon panier, ils sont très gentil",
Google Avis ,"Très bonne iniciative qui aide aux étudiants, j’ai reçu aujourd’hui mon panier solidaire et la quantité est parfaite! Merci beaucoup",
Google Avis ,Un immense merci pour cette aide ! Ça fait chaud au coeur de ne plus avoir ses placards vides !,
Google Avis ,RESPECT ! Incroyable ce que vous faites ! Bonne continuation et ne lâché rien,
Google Avis ,Ce que vous faites est incroyable et généreux ! Merci du fond du cœur.,
Google Avis ,"Grosse force à vous les gars, ce que vous faites  est magique.",
Google Avis ,"Je n'ai qu'un mot à dire félicitation et bravo, ce que ces étudiants ont réussi à accomplir est extraordinaire. Merci à vous!",
Google Avis ,"Panier complet, vraiment super et livreur très gentil",
Google Avis ,"Super association, de très belles valeurs et une superbe équipe ! Force à vous ! ",
Google Avis ,Merci infiniment Delivr'aide. J'ai reçu deux sac bien plein et je pense tenir au moins un bon mois.,
Google Avis ,"Un accueil chaleureux, personne à l’écoute. En tant qu’étudiante ça m’a fait chaud au coeur de savoir que l’on est soutenue !",
Google Avis ,"Livraison rapide, panier varié et très complet ! Merci beaucoup !",
Google Avis ,"je n'en profite pas, mais je voudrais vous envoyer toute ma force et mon soutien. merci pour ce que vous faites. merci vraiment !!!",
Google Avis ,"Bravo pour ce geste, merci pour tous les étudiants en situation précaire. Une belle preuve de solidarité.",
Google Avis ,"Super idée, bravo pour ce que vous accomplissez !",
Google Avis ,"À l'heure, sympathique et bonne initiative, merci beaucoup pour l'aide",
Google Avis ,"En plus d’avoir eu de super produits alimentaires ou non, le livreur n’était pas n’importe qui haha. Merci beaucoup",
Google Avis ,Merci beaucoup de votre aide et je suis très satisfaite de mon panier,
Google Avis ,Bravo a toutes et à tous pour cette initiative. Vous êtes géniaux,
Google Avis ,Le kit est vraiment complet et  les bénévoles très très sympathiques,
Google Avis ,Très satisfait du panier beaucoup de choses diverses d'hygiènes et de nourritures  ! Un grand merci aux bénévoles,
Google Avis ,"Félicitations à vous trois, je vous aime",
Google Avis ,"Beau projet et belle équipe, merci pour votre passage et votre bonne humeur",
Google Avis ,Une association extraordinaire et indispensable pour les étudiants. Un projet qui a un impact immense,
Google Avis ,Une équipe au top et l’initiative est juste incroyable merci à vous,
